Sl,Review date,Review URL,Author name,Auther_Len,Author URL,Local Guide,Author reviews,Star rating,Rating Diff,Review content,Review image
11,15-03-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VQZVFxWXpkcTgtR3NnRRAB!2m1!1s0x0,Mihir Desai,11,https://www.google.com/maps/contrib/101532747744711437814/reviews,TRUE,96,5,0,"Had an amazing experience at Gada Electronics!Mr. Jethalal personally helped me choose the latest Ramsung smartphone, and convinced me it’s better than any iPhone—mainly because “Babita ji also prefers it” (probably).Natu Kaka welcomed me with a salute and explained every feature like it was a TED Talk with full emotion. Bagha jumped in with bonus tips like, “Tony TV mein picture dekhte dekhte character development bhi hota hai!”Magan handled the packing faster than Bhide writes a society notice.Great discounts, super friendly staff, and top-tier entertainment while shopping. If you want electronics with emotion, education, and a little chaos—this is your one-stop shop!Products Bought:•	Ramsung Mobile•	Tony TV",https://lh3.googleusercontent.com/grass-cs/ANxoTn3GsCG0w7i2HmOKH4SYXrZ_fLj1tesGM_8XdDsBoVgyADEm4_E3SRBDlb-jtMZBBNLfeFMACwFmmNdsYk1ZU3DmX3svBpI3j8A5aTC7H0kMlFS1UkylYO-L8811aNYvCRXMn9NB=s188-p-k-rw
12,15-04-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VPVzJrWmZsanBlcHNnRRAB!2m1!1s0x0,Kunal Sonawane,14,https://www.google.com/maps/contrib/115850250285185809944/reviews,FALSE,9,5,0,"Afew days ago, I got an opportunity to strike a deal with Jethalal for my five-star hotel—70 Tony LVD TVs, 15 Ramsung fridges, and 12 AG washing machines. In the middle of the deal, Mr. Jethalal received a call from his best friend, and upon learning that his friend was in trouble, he immediately abandoned my multi-lakh rupee deal and rushed to help him. Seeing his reliability and willingness to sacrifice everything for friendship, I was deeply moved and decided to give Jethalal the contract for all electronic equipment in my five-star hotel. Besides, his after-sales service is top-notch, and I absolutely love the taste of saffron falooda served at his shop.",
13,15-04-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VMWGJ4OXZIaTUyV3VBRRAB!2m1!1s0x0,Soham Nangare,13,https://www.google.com/maps/contrib/118246937929162487345/reviews,TRUE,15,1,4,I ordered a 2nd hand PS5 from this store. They told me that the payment will be 50% before order then they will generate bill and 50% on time of delivery. Then they told me to pay amount in full which I did. Then today they are saying that there is some problem with their current bank account so they didn’t receive the 2nd half of the payment whereas I have shared them a screenshot as well and now they are saying that the 2nd half of the payment will be directly refunded to my account in a few days and pay 2nd half of the payment again. Then they will generate the shipping tracking id. Everything looks like a scam and now they are not even picking my call.,"https://lh3.googleusercontent.com/grass-cs/ANxoTn22ugkkop3V7aOt0oCKyTY5TOPGUbk8p4Si3vYmN4vvWbOuLdJrKEXbSaaKpLNMFkoGTJit-xYsy5-Ja7jAgBSMycxOBsG_5yyw3vM_uOW1GqGNljItCzEnoIi65_pKv1uLHUXflw=s188-p-k-rw, https://lh3.googleusercontent.com/grass-cs/ANxoTn2Ja-fsCz7VrpWfykFfW6Dt5hnVdW5eogbjScOXrkO0NwqeIvVDh_39UKbg_YUofAF9yL2m4iOHqcz18B6jY5U5QAcPyOMjsT_b71EnjolHy2DWFxFaAJHznG6LlJ_Ldfq-_Udf=s188-p-k-rw, https://lh3.googleusercontent.com/grass-cs/ANxoTn3J-Aa_8riNjImbQ5rO84fxIwzVfyxkgja5bA1vintYfIAlwDuziVyJ3VWUlbf2ldCY4FU_2qzY7Y_WTPunh9GvF1Swe6B0-I4JVkiY7tkxRtH5T68Ace6VmSUtiCBgNaV1mIs=s188-p-k-rw"
14,15-09-2021,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNhajQtR21nRRAB!2m1!1s0x0,Humairaa Khan,13,https://www.google.com/maps/contrib/117403641806313587910/reviews,FALSE,1,5,0,"I visited this shop few years back... The staff natwarlal prabhashankar udhaiwala and bageshwar were too good... Ha but nattu kaka has hearing issues as his salary has not increased since past 10 yeras....so i faced some problem.. But over all good experience.. Jethalal was not in the shop.. He was in godown with mehta sahab and they were eating jalebi fafda with papaya ka sambhaar (anjali bhabhi se chupke) .. Magan couldn't be found....I got great discount on red cherry 8400 mobile...JETHIYA is best..overall very good service.. Just said BABITA JI.. and got serverd chiku milkshake, falooda with icecrm and orange juice. ..Must visit♥",
15,15-08-2021,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNhNDRQdHVBRRAB!2m1!1s0x0,Yasir Ali,9,https://www.google.com/maps/contrib/115192939792013737661/reviews,FALSE,5,5,0,"I had the best experience shopping at Gada Electronics. I went there after learning about the ""Buy now, your grandson will pay later"" scheme. The owner Jethalal and his manager Nattu kaka are such sweet talkers as they convinced me to buy an IceCool 0G224 refrigerator along with a DP washing machine. My overall experience was great however, Mr.Jethalal was first skeptical about the scheme then he approved when Nattu kaka insisted. There's was a creepy-looking bent guy who was mumming 'wo to jaisi jiski soch' but I ignored him when Jetha bhai told me to do so. In the end, I got my electronics-free. Good luck grandson paying my debt.",
16,15-02-2021,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSURLX3I3RjJ3RRAB!2m1!1s0x0,Sachin P,8,https://www.google.com/maps/contrib/104729922144651175344/reviews,TRUE,21,5,0,I purchased a tablet of Ramson company from this store. Since it was my birthday Jethalal gifted me a box of chocomoko chocolates along with my purchase. Unfortunately the tablet malfuntioned after a couple of days main kaafi pareshan rehne laga. I was not able to focus on my work. Then somebody told me that Bagha who works at Gada Electronics could solve my problem within a day. Trust me he really did. I got my tablet back within half an hour. Jethalal & Nattu kaka (shop manager) served me Tea along with jalebi fafada of Padmavati Bhojanalay.I will recommend everyone to go to Gada Electronics for all your electronic requirements,
17,15-07-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21aM2NHVTVTMUYzVDAxZlpuSk1OMnh5TUZwM01rRRAB!2m1!1s0x0,Tirth,5,https://www.google.com/maps/contrib/116148645028405136943/reviews,TRUE,287,5,0,"I  purchased an Icecool OG 224 Refrigerator from Gada Electronics. While other shops were quoting ₹2000 to ₹3000 more, Mr. Jethalal gave it to me at the exact market price & no unnecessary markup, no drama. Just pure honesty!But wait, it gets better...I requested the delivery at a specific astrologically recommended time, and guess what? Mr. Jethalal himself came to deliver the fridge - right on time, as per the stars! 🌟🚚Now that's what I call “customer service written in the stars!”Really appreciate the sincerity, service, and sense of humor at Gada Electronics. Highly recommended.",
18,15-02-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnTUNZMmRERzRnRRAB!2m1!1s0x0,Jay_Reviews,11,https://www.google.com/maps/contrib/100858642435591491023/reviews,TRUE,58,5,0,"small mustache owner is really nice, good business skills, offered falooda with ice-cream, and gave me product ""bhav-to-bhav"", he has a moto he says "" No pofit- no imcome"" as he wants to maintain business relation. Staff is also cool with an experienced gentleman natu kaka offering me a offer like never before called "" TV aaj leke jao, paise aapke pote se wasool karrenge"" this is a lifetime kinda offer. and I wanted to repair my old phone, Baggha was there to help me out just by smelling my phone. overall experience was really good. I would recommend Gada electronics as best electronics shop",
19,15-02-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VLNl93TDc2N2V2N2x3RRAB!2m1!1s0x0,Rohit Naik,10,https://www.google.com/maps/contrib/113831701827117872395/reviews,TRUE,15,5,0,"The owner of this shop Jethalal Gada is really polite, when I walked into the showroom and was greeted by the owner, he seemed a very humble man, but after me, a lady customer walked in, she seemed to be a Bengali, I overheard the owner welcoming her by saying, Welcome Bobita Ji, and all his focus shifted to this one particular customer only.His staff, Nattu Kaka & Baaga are really friendly.Another customer, who seemed to be a journalist, was just saying Cancel, Cancel, I think he wanted to cancel his orders.The Bamsung TV, Ravells Fan & Tony music system seemed to be of top quality.",
20,15-06-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VMZTJyTFg3MktmQ29nRRAB!2m1!1s0x0,Vartika Pandey,14,https://www.google.com/maps/contrib/106564271384520940160/reviews,FALSE,1,5,0,Walking into Gada Electronics feels like entering a sitcom set where logic took a half day leave I asked for a simple mobile charger and Bagha handed me a microwave confidently saying bas thoda warm charging hoga Meanwhile Nattu Kaka began explaining voltage with the intensity of a science fair winner from 1972 Jethalal managed the chaos with his signature helpless smile and Champak Chacha turned my shopping trip into a moral science class I left without what I came for but with laughter life advice and a random remote 10 out of 10 for entertainment 2 out of 10 for electronics,https://lh3.googleusercontent.com/grass-cs/ANxoTn1_89KLjnYfzgbBqWo6ZxRwZj93ETgglK3ZRvDkJMlEci0RTt_W63FhwnRuaEZoA-2V4q7izEkqXUPuGHAXijdSWQeeoxfhaLiIuhJTpR4w7lz8LN0ZGFc47kn1TCnGA3vLxmb-=s188-p-k-rw
21,15-02-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnTUNZcGJxZXhRRRAB!2m1!1s0x0,Shreya Vernekar,15,https://www.google.com/maps/contrib/114446040348633489426/reviews,TRUE,14,5,0,"Visited Gada Electronics owned by Jethalal Gada, recently to buy a pair of Bluetooth speakers. The shop is a bit compact but well-organized. The staff Nattu kaka and Baga were polite and helped me compare a few options within my budget. I appreciated that they didn’t push for unnecessary upselling and actually explained the features well. The speaker I got works perfectly — good sound quality and battery life. Also, the pricing was reasonable compared to nearby stores. Overall, a smooth and satisfying shopping experience. Will be back if I need anything else electronic.",
22,15-10-2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnTUNZdUtUNW13RRAB!2m1!1s0x0,Varnika Mathpal,15,https://www.google.com/maps/contrib/116440948011968817743/reviews,FALSE,3,5,0,"If you haven’t visited this electronics shop in Andheri, you’re missing out not just on gadgets but on pure entertainment.They have everything from basic devices to the legendary TONY TV (yes, it exists). Jethalal, the ever-charming owner, even bribed me with jalebi-fafda and faluda and honestly, it worked.Natu Kaka and Bagha were super helpful (they deserve a raise) After-sales service? Better than most customer care centers I’ve dealt with.Big shoutout to Mr. Bagheshwar and Mr. Natwarlal  their comic timing and energy made shopping feel like coming back again.",https://lh3.googleusercontent.com/grass-cs/ANxoTn1Vys49CJVWSsjuQo5ju30aOcGDucWnZGJEAzTkpXeikSrblEia-BwONLn6gpnJwSlVvd4DsOy0pDh-V3ry4NDXcpWFiro03Bs8U0yUmC-Y3cBiiKNr6pWsMGoKwhYu9o6rCnXD=s188-p-k-rw
23,15-10-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xGblRHSlBablphVEVoelYxaGFVVVV5WTBoeGMwRRAB!2m1!1s0x0,Rao Shubham,11,https://www.google.com/maps/contrib/116212911410213252308/reviews,FALSE,5,5,0,"Years ago, I was there with my father, and my dad made a deal for an LCD TV, which was Diwali time. Hence, they proposed an offer where they offer a firecracker that sings the song ""Happy Diwali""; it bursts rather than singing a song. Still, the shop owner and staff were so polite that they delivered the TV at a huge discount, also brought choco moco chocolate for me, and I listened to them talking about their motto ""Le Cum Daam"". I believe we all made mistakes but admitting errors and embracing kindness is the thing the shop owner Mr. Jethalal Gada has proved",
24,15-06-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnTUNZaEpMNWVBEAE!2m1!1s0x0,Rd Shihori,10,https://www.google.com/maps/contrib/112386410569792122943/reviews,TRUE,80,5,0,"Good Experience,But Shop Owner Mrs Jethalal Champak laal Gada Not Available At Gada Electronics Shop So I Am Disappointed ,Beacuse Of Jethalal & My Uncle (mama) home Town Same In Bhachau Kutch Gujarat, Jethalal leave in JAY MATAJI CHOWK (જય માતાજી ચોક) Near Main bazar road , Bhachau.Also My Uncle Know Very Well Jethalal Father Champak Laal Gada, Once Upon Time In Bhachau Champak Laal Beats My Uncle SheraBhai In Desi Kusti Fight. Champak Laal Name  Famous As ભચાઉ નો સાવજ ( Lion Of Bhachau) .",
25,15-01-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnTUN3dU9talJREAE!2m1!1s0x0,Indra B Maurya,14,https://www.google.com/maps/contrib/102993465897711079906/reviews,TRUE,91,5,0,"Tarak Mehta Ka Ooltah Chashmah is a very popular television show with very famous actors. I watch this serial whenever I get time. On 14th March 2025, I got the opportunity to visit Jethabhai's iconic Gada Electronics shop, which is now named Consumer Shoppee. It was a great pleasure to go inside the shop and capture the memorable moment on camera. It was interesting to see how a fictional store from the show has gained recognition in the real world, which shows the deep connection of fans with this series.","https://lh3.googleusercontent.com/grass-cs/ANxoTn1vjQLQVBpK_qbE4Wf9i0Jq3YIfqb6MW2f5O-CjdwjqOHVSRXYQ9UZyiDka0mSseJvEBYOMRcj5AaVdvcnRoqzQ_BD8j2p-5_XuxGhAn3aCRiUTzFhixV4qmKKNdkqNRxD3aREX=s188-p-k-rw, https://lh3.googleusercontent.com/grass-cs/ANxoTn1dmUOVY35HsPwl2rgcrW195EOJTVJ22cCOP3Ab6V-Ql_nDDVbeZMMACkdmsgOfoVqG5qdZQmQMXCtTmfexmUg-KJ_ie1ZC2pz8Zj5qNmzIGdFsIuPy2ebpcS-Rc4rPNyWT0g2NAQ=s188-p-k-rw"
26,15-03-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VPVzluS2lSNmQzS1l3EAE!2m1!1s0x0,Tanya Rana,10,https://www.google.com/maps/contrib/101690264234949912933/reviews,FALSE,6,5,0,"This was a surreal experience as i also got to buy a  Chaniya Choli . The best electronics shop i have visited till date.Encountered a beef between the owner jethalal and his friend bhide regarding a cheap phone, bhide insisted to claim warranty . He blamed everything to Jethalal .The owner is very nice but is frustrated most of the times . Natu kaka brought me mango shake while waiting, great customer service .I bought LCD Le Cum Dam . As a bumper offer they also offered me cracker that played songs .",
